;Manhattan;Month;NYC;Percentage
0;3178;Jan;18101;0.17557041047455943
1;3195;Feb;15985;0.19987488270253362
2;3479;Mar;18471;0.18834930431487196
3;3540;Apr;18331;0.19311548742567236
4;3432;May;20052;0.17115499700777978
5;2956;Jun;19433;0.15211238614727526
6;3055;Jul;19867;0.15377258770825994
7;2844;Aug;19678;0.14452688281329404
8;2744;Sep;19492;0.14077570285245228
9;2831;Oct;19666;0.14395403234007934
10;2838;Nov;19315;0.14693243593062386
11;2634;Dec;19214;0.13708754033517226
